model,intervention,image_identifier,cosine_stability
resnet50,grayscale,176,0.8102778196334839
resnet50,grayscale,7726,0.682761549949646
resnet50,grayscale,2334,0.6895067095756531
resnet50,grayscale,1648,0.885591447353363
resnet50,grayscale,6084,0.7982489466667175
resnet50,grayscale,3455,0.8466322422027588
resnet50,grayscale,1468,0.8249343037605286
resnet50,grayscale,1296,0.5488396883010864
resnet50,grayscale,5213,0.8198769092559814
resnet50,grayscale,7047,0.8387264609336853
resnet50,grayscale,5360,0.8071874976158142
resnet50,grayscale,5824,0.7263225317001343
resnet50,grayscale,7460,0.8646786212921143
resnet50,grayscale,4791,0.8962636590003967
resnet50,grayscale,6692,0.7989729642868042
resnet50,grayscale,6931,0.771122932434082
resnet50,grayscale,667,0.8791413307189941
resnet50,grayscale,7781,0.8393224477767944
resnet50,grayscale,7793,0.7307504415512085
resnet50,grayscale,1411,0.9237924218177795
resnet50,grayscale,1473,0.7904000282287598
resnet50,grayscale,7130,0.79020756483078
resnet50,grayscale,1956,0.6507992744445801
resnet50,grayscale,6716,0.7157657146453857
resnet50,grayscale,4106,0.8749415874481201
resnet50,grayscale,3494,0.8923571705818176
resnet50,grayscale,691,0.7691661715507507
resnet50,grayscale,5220,0.7564126253128052
resnet50,grayscale,4908,0.7977786660194397
resnet50,grayscale,7029,0.5526456236839294
resnet50,grayscale,4130,0.8531710505485535
resnet50,grayscale,7938,0.7346380949020386
resnet50,grayscale,5101,0.8441811203956604
resnet50,grayscale,1515,0.8581021428108215
resnet50,grayscale,3287,0.7972775101661682
resnet50,grayscale,716,0.8196865916252136
resnet50,grayscale,4236,0.7135470509529114
resnet50,grayscale,5408,0.7989898324012756
resnet50,grayscale,5496,0.8649318218231201
resnet50,grayscale,3365,0.8189642429351807
resnet50,grayscale,4323,0.8663359880447388
resnet50,grayscale,5467,0.7030529975891113
resnet50,grayscale,1644,0.7459481954574585
resnet50,grayscale,3948,0.8639436960220337
resnet50,grayscale,6726,0.7669199705123901
resnet50,grayscale,5395,0.8816459774971008
resnet50,grayscale,1579,0.7931109666824341
resnet50,grayscale,5918,0.8468879461288452
resnet50,grayscale,7041,0.8476314544677734
resnet50,grayscale,506,0.6905823945999146
resnet50,grayscale,4011,0.7128701210021973
resnet50,grayscale,5981,0.7662026882171631
resnet50,grayscale,409,0.849716067314148
resnet50,grayscale,6954,0.8336189985275269
resnet50,grayscale,7555,0.698112964630127
resnet50,grayscale,3965,0.9587606191635132
resnet50,grayscale,7266,0.6207205653190613
resnet50,grayscale,4785,0.8414663076400757
resnet50,grayscale,6028,0.9207543730735779
resnet50,grayscale,6503,0.812764048576355
resnet50,grayscale,6414,0.7550830841064453
resnet50,grayscale,5382,0.8264142274856567
resnet50,grayscale,6836,0.30151718854904175
resnet50,grayscale,6508,0.7228867411613464
resnet50,grayscale,3994,0.7951073050498962
resnet50,grayscale,3942,0.7823919653892517
resnet50,grayscale,3542,0.8509441614151001
resnet50,grayscale,6952,0.7524709701538086
resnet50,grayscale,4290,0.7289571166038513
resnet50,grayscale,7446,0.8598878979682922
resnet50,grayscale,6169,0.5634423494338989
resnet50,grayscale,1109,0.7929879426956177
resnet50,grayscale,3179,0.7258182168006897
resnet50,grayscale,7835,0.6686080694198608
resnet50,grayscale,7390,0.7730937600135803
resnet50,grayscale,568,0.8773008584976196
resnet50,grayscale,4629,0.5905103087425232
resnet50,grayscale,7138,0.6879841089248657
resnet50,grayscale,5284,0.6427918076515198
resnet50,grayscale,3,0.8560406565666199
resnet50,grayscale,2690,0.7865064144134521
resnet50,grayscale,5858,0.8216913342475891
resnet50,grayscale,1266,0.6650363802909851
resnet50,grayscale,3034,0.7958099246025085
resnet50,grayscale,2655,0.9223586320877075
resnet50,grayscale,6190,0.8039008975028992
resnet50,grayscale,4170,0.8399313688278198
resnet50,grayscale,7380,0.8707700967788696
resnet50,grayscale,7752,0.8073053359985352
resnet50,grayscale,3996,0.8461366295814514
resnet50,grayscale,1204,0.8810582160949707
resnet50,grayscale,1654,0.7515403628349304
resnet50,grayscale,4746,0.7794762849807739
resnet50,grayscale,4590,0.7226964235305786
resnet50,grayscale,562,0.8664480447769165
resnet50,grayscale,7108,0.7947630286216736
resnet50,grayscale,5999,0.7658382058143616
resnet50,grayscale,1403,0.8576812148094177
resnet50,grayscale,4403,0.8987693190574646
resnet50,grayscale,6332,0.9011818170547485
resnet50,grayscale,6264,0.9005366563796997
resnet50,grayscale,303,0.902950644493103
resnet50,grayscale,791,0.8945068120956421
resnet50,grayscale,3067,0.9190632104873657
resnet50,grayscale,484,0.6938153505325317
resnet50,grayscale,1370,0.7097865343093872
resnet50,grayscale,4069,0.5470337867736816
resnet50,grayscale,7373,0.8761236667633057
resnet50,grayscale,4330,0.641248345375061
resnet50,grayscale,5701,0.8922256827354431
resnet50,grayscale,7465,0.8126301765441895
resnet50,grayscale,1531,0.7044007182121277
resnet50,grayscale,4676,0.8779478073120117
resnet50,grayscale,4531,0.6813859939575195
resnet50,grayscale,706,0.8793710470199585
resnet50,grayscale,2844,0.7229308485984802
resnet50,grayscale,3755,0.7901701331138611
resnet50,grayscale,5848,0.6729294657707214
resnet50,grayscale,2114,0.8560264110565186
resnet50,grayscale,3876,0.8608944416046143
resnet50,grayscale,677,0.8507996201515198
resnet50,grayscale,2116,0.7258332967758179
resnet50,grayscale,4661,0.7459917068481445
resnet50,grayscale,2676,0.6709595918655396
resnet50,grayscale,3025,0.9999998211860657
resnet50,grayscale,4449,0.7628301978111267
resnet50,grayscale,977,0.6803914308547974
resnet50,grayscale,4990,0.7447620630264282
resnet50,grayscale,7309,0.8841571807861328
resnet50,grayscale,1048,0.6847487688064575
resnet50,grayscale,3276,0.8669026494026184
resnet50,grayscale,5512,0.8087942600250244
resnet50,grayscale,7692,0.6728674173355103
resnet50,grayscale,1436,0.6181702017784119
resnet50,grayscale,7544,0.7388095259666443
resnet50,grayscale,3383,0.7291421890258789
resnet50,grayscale,1977,0.8977873921394348
resnet50,grayscale,2750,0.7079981565475464
resnet50,grayscale,7996,0.6962211728096008
resnet50,grayscale,6989,0.9168813228607178
resnet50,grayscale,1431,0.8625453114509583
resnet50,grayscale,7416,0.7329199314117432
resnet50,grayscale,4547,0.7921373248100281
resnet50,grayscale,42,0.9686300754547119
resnet50,grayscale,5117,0.7930926084518433
resnet50,grayscale,4411,0.6814775466918945
resnet50,grayscale,5789,0.6775787472724915
resnet50,grayscale,483,0.6928924322128296
resnet50,grayscale,6650,0.6884218454360962
resnet50,grayscale,4881,0.574364185333252
resnet50,grayscale,391,0.8366621732711792
resnet50,grayscale,370,0.7970170974731445
resnet50,grayscale,419,0.9320852756500244
resnet50,grayscale,3318,0.852394700050354
resnet50,grayscale,4355,0.7763970494270325
resnet50,grayscale,5402,0.6006125807762146
resnet50,grayscale,5332,0.7882217764854431
resnet50,grayscale,239,0.8696154356002808
resnet50,grayscale,6271,0.8924363255500793
resnet50,grayscale,1129,0.797200083732605
resnet50,grayscale,2391,0.6962308287620544
resnet50,grayscale,191,0.8625925779342651
resnet50,grayscale,5447,0.8585541248321533
resnet50,grayscale,6528,0.7802226543426514
resnet50,patch_shuffle,632,0.7654443383216858
resnet50,patch_shuffle,131,0.741165041923523
resnet50,patch_shuffle,7081,0.6604236364364624
resnet50,patch_shuffle,1836,0.6560512781143188
resnet50,patch_shuffle,6437,0.6271446943283081
resnet50,patch_shuffle,6609,0.7210345268249512
resnet50,patch_shuffle,3467,0.7339478135108948
resnet50,patch_shuffle,1401,0.5783596634864807
resnet50,patch_shuffle,1839,0.717326819896698
resnet50,patch_shuffle,4168,0.6601037383079529
resnet50,patch_shuffle,35,0.7990488409996033
resnet50,patch_shuffle,4177,0.7356077432632446
resnet50,patch_shuffle,7270,0.8068380951881409
resnet50,patch_shuffle,2265,0.7548184394836426
resnet50,patch_shuffle,3288,0.6765392422676086
resnet50,patch_shuffle,5451,0.6824703812599182
resnet50,patch_shuffle,4023,0.732984721660614
resnet50,patch_shuffle,261,0.7096332311630249
resnet50,patch_shuffle,4570,0.7257049083709717
resnet50,patch_shuffle,4966,0.7498106956481934
resnet50,patch_shuffle,7955,0.6904863119125366
resnet50,patch_shuffle,6288,0.5906016826629639
resnet50,patch_shuffle,7810,0.7341480255126953
resnet50,patch_shuffle,1927,0.6442202925682068
resnet50,patch_shuffle,1871,0.7957274913787842
resnet50,patch_shuffle,6922,0.6765356063842773
resnet50,patch_shuffle,3512,0.7526468634605408
resnet50,patch_shuffle,4754,0.782381534576416
resnet50,patch_shuffle,714,0.7626566290855408
